Model,Product,Month,Payment_SAR,Principal_SAR,Interest_SAR,Balance_SAR
BYD QIN Plus DM-i (Comfort),Loan (60m),1,1100.3,857.79,242.51,57462.21
BYD QIN Plus DM-i (Comfort),Loan (60m),2,1100.3,861.36,238.95,56600.85
BYD QIN Plus DM-i (Comfort),Loan (60m),3,1100.3,864.94,235.37,55735.92
BYD QIN Plus DM-i (Comfort),Loan (60m),4,1100.3,868.53,231.77,54867.38
BYD QIN Plus DM-i (Comfort),Loan (60m),5,1100.3,872.15,228.16,53995.24
BYD QIN Plus DM-i (Comfort),Loan (60m),6,1100.3,875.77,224.53,53119.46
BYD QIN Plus DM-i (Comfort),Loan (60m),7,1100.3,879.41,220.89,52240.05
BYD QIN Plus DM-i (Comfort),Loan (60m),8,1100.3,883.07,217.23,51356.98
BYD QIN Plus DM-i (Comfort),Loan (60m),9,1100.3,886.74,213.56,50470.23
BYD QIN Plus DM-i (Comfort),Loan (60m),10,1100.3,890.43,209.87,49579.8
BYD QIN Plus DM-i (Comfort),Loan (60m),11,1100.3,894.13,206.17,48685.67
BYD QIN Plus DM-i (Comfort),Loan (60m),12,1100.3,897.85,202.45,47787.82
BYD QIN Plus DM-i (Comfort),Loan (60m),13,1100.3,901.59,198.72,46886.23
BYD QIN Plus DM-i (Comfort),Loan (60m),14,1100.3,905.33,194.97,45980.9
BYD QIN Plus DM-i (Comfort),Loan (60m),15,1100.3,909.1,191.2,45071.8
BYD QIN Plus DM-i (Comfort),Loan (60m),16,1100.3,912.88,187.42,44158.92
BYD QIN Plus DM-i (Comfort),Loan (60m),17,1100.3,916.68,183.63,43242.24
BYD QIN Plus DM-i (Comfort),Loan (60m),18,1100.3,920.49,179.82,42321.75
BYD QIN Plus DM-i (Comfort),Loan (60m),19,1100.3,924.32,175.99,41397.44
BYD QIN Plus DM-i (Comfort),Loan (60m),20,1100.3,928.16,172.14,40469.28
BYD QIN Plus DM-i (Comfort),Loan (60m),21,1100.3,932.02,168.28,39537.26
BYD QIN Plus DM-i (Comfort),Loan (60m),22,1100.3,935.89,164.41,38601.37
BYD QIN Plus DM-i (Comfort),Loan (60m),23,1100.3,939.79,160.52,37661.58
BYD QIN Plus DM-i (Comfort),Loan (60m),24,1100.3,943.69,156.61,36717.89
BYD QIN Plus DM-i (Comfort),Loan (60m),25,1100.3,947.62,152.69,35770.27
BYD QIN Plus DM-i (Comfort),Loan (60m),26,1100.3,951.56,148.74,34818.71
BYD QIN Plus DM-i (Comfort),Loan (60m),27,1100.3,955.52,144.79,33863.2
BYD QIN Plus DM-i (Comfort),Loan (60m),28,1100.3,959.49,140.81,32903.71
BYD QIN Plus DM-i (Comfort),Loan (60m),29,1100.3,963.48,136.82,31940.23
BYD QIN Plus DM-i (Comfort),Loan (60m),30,1100.3,967.49,132.82,30972.74
BYD QIN Plus DM-i (Comfort),Loan (60m),31,1100.3,971.51,128.79,30001.23
BYD QIN Plus DM-i (Comfort),Loan (60m),32,1100.3,975.55,124.76,29025.69
BYD QIN Plus DM-i (Comfort),Loan (60m),33,1100.3,979.6,120.7,28046.08
BYD QIN Plus DM-i (Comfort),Loan (60m),34,1100.3,983.68,116.62,27062.4
BYD QIN Plus DM-i (Comfort),Loan (60m),35,1100.3,987.77,112.53,26074.64
BYD QIN Plus DM-i (Comfort),Loan (60m),36,1100.3,991.88,108.43,25082.76
BYD QIN Plus DM-i (Comfort),Loan (60m),37,1100.3,996.0,104.3,24086.76
BYD QIN Plus DM-i (Comfort),Loan (60m),38,1100.3,1000.14,100.16,23086.62
